glyph,count
o,25154
e,19929
y,17495
a,14105
d,12871
i,11512
ch,10911
l,10393
k,9895
r,7358
n,6063
t,5923
q,5391
Sh,4478
s,2831
p,1401
m,1094
cTh,929
cKh,899
-,874
f,420
cPh,216
h,195
c,154
%,120
g,95
I,72
cFh,71
x,35
K,32
T,26
v,9
P,8
F,6
z,2
ckh,2
cph,1
