label,n_tokens,n_types,type_token_ratio,hapax_ratio,avg_word_length,h1_unigram,h2_conditional,zipf_slope,zipf_r2,repetition_rate,graph_n_types_used,graph_avg_degree,graph_largest_share,graph_clustering,graph_components_geq_10
Real Voynichese,33144,7111,0.2145486362539223,0.693432709886092,4.554791214096066,3.898978892917421,2.562628129438389,-0.9089227540121895,0.9132942730722678,0.009172374257007513,2162,12.54209065679926,0.29740980573543013,0.4762747554227823,10
Naibbe(Pliny BookXVI),34764,5600,0.16108618110689218,0.40910714285714284,4.7950753653204465,3.851123028340185,2.46899093524228,-0.973133259146272,0.967102553953602,0.0015533757155596468,3308,11.993349455864571,0.2699516324062878,0.41756331283720766,9
Naibbe(Pliny) matched,33144,5488,0.16558049722423365,0.4149052478134111,4.7915761525464635,3.851673372930908,2.4706847573821538,-0.9647446669813888,0.967205517445853,0.0015991310382282835,3210,11.812461059190031,0.270404984423676,0.41923811340226963,9
Naibbe(Divina Commedia),535922,9032,0.016853198786390557,0.09156333038086803,4.71997604128959,3.8579947886754504,2.501946690267004,-1.3862104679004166,0.8440202956718098,0.0018304936735078492,8204,17.865431496830816,0.2529254022428084,0.368965875646868,14
Naibbe(Dante) matched,33144,5152,0.15544291576152547,0.37131211180124224,4.716660632391987,3.8550708697959557,2.500843302599423,-0.9672152873945384,0.9617988546205978,0.0016293033219684399,3238,10.92958616429895,0.2600370599135269,0.4117042462999734,10
