glyph,initial,medial,final
o,8219,15861,1144
e,143,19698,91
y,1759,949,14924
a,1915,12104,89
d,3490,8830,591
i,8,11498,6
ch,5801,5094,21
l,1358,3359,5730
k,1149,8683,69
r,486,1403,5552
n,3,178,5885
t,966,4910,51
q,5329,62,1
Sh,3157,1308,28
s,1224,545,1261
p,544,834,26
m,11,71,1021
cTh,479,446,6
cKh,192,704,3
-,0,864,10
f,124,279,23
cPh,128,88,0
h,2,190,3
c,72,81,4
%,2,117,1
g,16,10,80
I,7,65,0
cFh,31,40,0
x,12,17,11
K,0,32,0
T,0,26,0
v,5,4,3
P,0,8,0
F,0,6,0
z,1,1,0
ckh,1,1,0
cph,0,1,0
