label,n_tokens,n_types,hapax_ratio,avg_word_length,h1_unigram,h2_conditional,zipf_slope,zipf_r2,repetition_rate,graph_n_types_used,graph_avg_degree,graph_largest_share,graph_clustering,graph_components_geq_10
Real Voynichese,33144,7111,0.693432709886092,4.554791214096066,3.898978892917421,2.562628129438389,-0.9089227540121895,0.9132942730722678,0.009172374257007513,2162,12.54209065679926,0.29740980573543013,0.4762747554227823,10
M1 pos*len (type-fit),33144,29755,0.9311376239287514,5.738776249094859,4.009633240638497,3.889555097378223,-0.1886026930263465,0.5895164955884503,0.0,2049,16.92630551488531,0.337725719863348,0.5126026640352983,5
M2 pos*len (token-fit),33144,18098,0.8046745496739971,4.594587255611875,3.8904022539181393,3.5988266235261066,-0.5157631623754898,0.8286171596459148,0.000512928823582657,3535,21.907213578500706,0.3360678925035361,0.45309844278080613,6
M3 family + pos*len,33144,16609,0.781925462098862,4.623189717595945,3.887032221341332,3.5726658030272205,-0.5693187209265014,0.8549091778009559,0.000724134809763751,3622,21.353395913859746,0.31501932633903923,0.4459165764919992,8
