label,n_types,n_edges,avg_degree,isolated_fraction,n_components,largest_component_size,largest_component_share,size_geq_5_components,size_geq_10_components,avg_clustering_coef
Voynichese (count>=2),2385,16905,14.176100628930818,0.020964360587002098,67,695,0.2914046121593291,13,10,0.4982224119176095
Latin (Pliny),2385,7133,5.9815513626834385,0.3589098532494759,1060,312,0.13081761006289308,26,6,0.4762842077102755
Finnish (Bible),2385,1336,1.120335429769392,0.5069182389937107,1476,158,0.06624737945492662,31,13,0.3640084946773366
English (Pride&Prejudice),2385,1004,0.8419287211740042,0.6855345911949685,1777,227,0.09517819706498952,12,6,0.39457918624585314
Italian (Divina Commedia),2385,3570,2.993710691823899,0.2750524109014675,885,529,0.22180293501048218,30,7,0.4069337450404084
