length_glyphs,count
1,665
2,2823
3,5995
4,8154
5,8453
6,5908
7,2959
8,884
9,349
10,160
11,104
12,68
13,43
14,25
15,10
16,7
17,7
18,7
19,6
20,2
21,1
23,1
56,1
67,1
122,1
